index,Name,French Page,English Page,Image,Milk
0,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/f9f6d1919222e77d20c30b5b163b3cae,Cow Milk
1,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/2618e59a0095c27c8f2e3daff7cd0ac7,Cow Milk
2,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/17de219df776700d7b20de3cd03ef3c9,Cow Milk
3,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/2e48d38c90bcb7adaf2756f7c1c6115e,Cow Milk
4,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/1c4b175a126c15dbb719c256ca380430,Cow Milk
5,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,http://en.wikipedia.org/wiki/P%C3%A9lardon,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/39d6a083f62b9c01967327b3c2fa9ca2,Goat Milk
6,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,http://en.wikipedia.org/wiki/Sainte-Maure_de_Touraine,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/bef16ee8337f5ccaaefd297125d0f621,Goat Milk
7,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,http://en.wikipedia.org/wiki/Valen%C3%A7ay_cheese,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/991be7dfda8932e50932d3f71e9e8d7e,Goat Milk
8,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,http://en.wikipedia.org/wiki/Brie_de_Meaux,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/27008672bdd6146a34bc9dbea1b86699,Cow Milk
9,Picodon,http://fr.wikipedia.org/wiki/Picodon,http://en.wikipedia.org/wiki/Picodon,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/b41a6fce12817990039484af0f0740ad,Goat Milk
